Poetic Opening,Poem,Author,Year,Lines,"Count of 
Metaphor",Metaphorical Name,Meaning,Extra Notes
இயற்கை,இந்த நீள நீலக் கரும்பலகையில்,வைரமுத்து,2017,"இந்த நீள நீலக் கரும்பலகையில் எழுதும்
",1,நீலக் கரும்பலகையில்,கடலை ஒரு கரும்பலகையில் ஒப்பிடுகிறது. ,"கடல் நீளமாகவும், நீல நிறமாகவும், அசைவற்றதாகவும் இருக்கிறது."
இயற்கை,இந்த நீள நீலக் கரும்பலகையில்,வைரமுத்து,2017,இவை மௌன பாஷையின் லிபிகளோ,1,மௌன பாஷையின்,அலைகளின் மொழியை ஒரு புதிய மொழியாகக் காண்கிறது. ,இது ஒரு புதிய கலாச்சாரம் அல்லது அறிவின் ஒரு புதிய வடிவத்தைக் குறிக்கலாம்.
இயற்கை,இந்த நீள நீலக் கரும்பலகையில்,வைரமுத்து,2017,"நிலவு என்னும் ஒற்றை வாக்கியக் காவியத்தை எழுதி முடித்த
எக்காளத்தில் ",0,,,
இயற்கை,இந்த நீள நீலக் கரும்பலகையில்,வைரமுத்து,2017,"எவனவன் இத்தனை முற்றுப் புள்ளிகள் இட்டு வைத்தவன்?
",0,,,
வெண்பா நீ எந்தன் மூச்சை,வெண்பா நீ எந்தன் மூச்சை,வைரமுத்து,1997,ஆகுபெயர் போல் எனக்கே ஆகிவிட்டாய்,1,ஆகுபெயர்,ஒரு நபர் மற்றொரு நபருக்கு மிகவும் நெருக்கமாக இருப்பதைக் குறிக்கிறது. ,இது ஒரு நெருங்கிய உறவின் தீவிரத்தை வெளிப்படுத்துகிறது.
நெத்தியில நானிறங்கி,நெத்தியில நானிறங்கி,வைரமுத்து,1999,"நீராக நானிருந்தால் – உன் நெத்தியில நானிறங்கி
கூரான உன் நெஞ்சில் – குதிச்சி அங்க குடியிருப்பேன்",1,கூரான உன் நெஞ்சில்,இந்த உருவகம் காதலியின் அல்லது நேசிப்பவரின் அன்பின் தீவிரத்தைக் குறிக்கிறது,
கனிமொழியே என்னை,கனிமொழியே என்னை,வைரமுத்து,2013,"கனிமொழியே என்னை கொன்று போகிறாய்
கடைவிழியால் என்னை தின்று போகிறாய்",1,கனிமொழியே,ஒரு பெண்ணின் பேச்சு ஒரு பழம் போல இனிமையானது மற்றும் சுவையாக இருக்கும் என்று கூறுகிறது,"இது ஒரு பெண்ணின் அழகையும், கனிவையும், மென்மையையும் வெளிப்படுத்துகிறது."
மேடையிலொருவன்,மேடையிலொருவன்,வைரமுத்து,2010,சூரிய நிலாக்களாய்க் கண்ணுக்கழகிய பெண்கள் கடந்தேகும் போதெல்லாம்,1,சூரிய நிலாக்களாய்க்,"இந்த உருவகம் ஒரு பெண்ணின் அழகு சூரியன் மற்றும் சந்திரனைப் போல பிரகாசமாகவும், 
ரகசியமாகவும் இருக்கிறது என்று கூறுகிறது.
",இது பெண்களின் அழகை மேலும் விவரிக்கிறது.
சேர்த்துவைத்த கண்ணீரை,சேர்த்துவைத்த கண்ணீரை,வைரமுத்து,2000,அரக்கமனம் இதம்காண ஆசைகளால் பந்தலிட்டும் அர்த்தங்காணேன்,1,அரக்கமனம்,"""அரக்கமனம்"" என்ற உருவகம் ஒரு நபர்ன் தவறான, தீய நோக்கங்களை வெளிப்படுத்துகிறது.  ",இது ஆசை மற்றும் பேராசையின் அடையாளமாக கருதப்படும் ஒரு அரக்கனைக் குறிக்கிறது.
சீலக் கவிக்குலத்தீர்,சீலக் கவிக்குலத்தீர்,வைரமுத்து,1973,ஆலயத்து வாசலிலே அமாவாசை நிலவானேன்,1,"
அமாவாசை நிலவானேன்","இது ஒரு நபர் அல்லது ஒரு பொருளின் தனிமையையும், தனிமையும் வெளிப்படுத்துகிறது.",
நட்பு என்பது சூரியன் போல்,நட்பு ,வைரமுத்து,2014,சூரியன் போல் எல்லா நாளும் பூரணமாய் இருக்கு,1,சூரியன் போல்,ஒரு நபர் அல்லது விஷயம் எப்போதும் மகிழ்ச்சியாகவும் நல்ல சூழ்நிலையிலும் இருப்பதைக் குறிக்கிறது,
நட்பு என்பது சூரியன் போல்,நட்பு ,வைரமுத்து,2014,கடல் அலை போல் என்றும் அலைந்து வரும்,1,கடல் அலை போல்,இது கடல் அலைகளின் நிலையான இயக்கத்தைக் குறிக்கிறது,
நட்பு என்பது சூரியன் போல்,நட்பு ,வைரமுத்து,2014,அக்னி போல் எல்லா,1,அக்னி,இது அக்னியின் பல வழிகளில் எல்லாவற்றையும் பாதிக்கக்கூடிய திறனைக் குறிக்கிறது,
நட்பு என்பது சூரியன் போல்,நட்பு ,வைரமுத்து,2014,தண்ணீர் போல் எதில் ஊற்றினாலும் ஓரே மட்டமாய் இருக்கு,1,தண்ணீர் போல்,ஒரு நல்ல குணம் அல்லது திறன் எந்த சூழ்நிலையிலும் அதன் மதிப்பை இழக்காது என்பதைக் குறிக்கிறது,
நாளுக்கு ஒரு பார்வையன,நாளுக்கு ஒரு பார்வையன,வைரமுத்து,1991,செம்பருத்தி அவள் மனதில்  நாள் குறித்து,1,செம்பருத்தி அவள்,"செம்பருத்தி ஒரு அழகான மலர், மேலும் இது பெண்ணின் காதலின் அழகைக் குறிக்கிறது.",
திரிபுகள் சங்கீதம் இரைச்சலின் கூட்டணியாய்,"திரிபுகள் சங்கீதம்

",வைரமுத்து,2000,இருண்மையின் திமிராய்,1,இருண்மையின் திமிராய்,கவிஞர் தனது இருண்ட எண்ணங்களின் திமிரைக் பற்றி பேசுகிறார். ,"இந்த இருண்ட எண்ணங்கள் அவரை ஆக்கிரமித்து, அவரை நம்பிக்கை இழக்கச் செய்கின்றன."
திரிபுகள் சங்கீதம் இரைச்சலின் கூட்டணியாய்,"திரிபுகள் சங்கீதம்

",வைரமுத்து,2000,கலை விலைமகளின் உதட்டுச்சாயமாய்,1,"

விலைமகளின் உதட்டுச்சாயமாய்",கலையின் அழகைக் குறிக்கிறது.,"உதட்டுச்சாயம் ஒரு பெண்ணின் உதட்டை அழகுபடுத்துகிறது, 
அதேபோல் கலை உலகத்தையும் அழகுபடுத்துகிறது."
திரிபுகள் சங்கீதம் இரைச்சலின் கூட்டணியாய்,"திரிபுகள் சங்கீதம்

",வைரமுத்து,2000,மதம் கடவுள் விற்கும் கள்ளச்சந்தையாய்,1,கடவுள் விற்கும் கள்ளச்சந்தையாய்,மதத்தின் தவறான பயன்பாட்டைக் குறிக்கிறது. ,"சிலர் மதத்தை தங்கள் சொந்த நலனுக்காக பயன்படுத்துகிறார்கள், 
மேலும் அவர்கள் கடவுளை ஒரு பொருளாக விற்கிறார்கள்."
உன்னோடு நான் இருந்த ,உன்னோடு நான்!,வைரமுத்து,1997,உன்னோடு நான் இருந்த ஒவ்வொரு மணித் துளியும்,1,மணித் துளி,ஒரு மணித் துளியை ஒரு விலைமதிப்பற்ற பொருளுடன் ஒப்பிடுகிறது. ,"ஒரு நபர் ஒருவருடன் செலவிடும் நேரத்தைக் குறிக்கிறது. 
இந்த நேரம் மிகவும் விலைமதிப்பற்றது"
உன்னோடு நான் இருந்த ,உன்னோடு நான்!,வைரமுத்து,1997,மரணப் படுக்கையிலும் மறக்காது கண்மணியே,0,,,
உன்னோடு நான் இருந்த ,உன்னோடு நான்!,வைரமுத்து,1997,தொண்ணூறு நிமிடங்கள் தொட்டனைத்த காலம்,0,,,
உன்னோடு நான் இருந்த ,உன்னோடு நான்!,வைரமுத்து,1997,தொண்ணூறு ஆண்டுகளாய் இதயத்தை கலக்குதடி…,0,,,
மேகங்கள் என்னைத் தொட்டுப் போனதுண்டு சில மின்னல்கள் என்னை ,மேகங்கள் என்னைத் தொட்டு,வைரமுத்து,1999,கண்ணிமையும் சாமரங்கள் வீசும் காற்றில்,0,,,
மேகங்கள் என்னைத் தொட்டுப் போனதுண்டு சில மின்னல்கள் என்னை ,மேகங்கள் என்னைத் தொட்டு,வைரமுத்து,1999,என் காதல் மனம் துண்டுத் துண்டாய் உடையக் கண்டேன்,0,"
",,
மேகங்கள் என்னைத் தொட்டுப் போனதுண்டு சில மின்னல்கள் என்னை ,மேகங்கள் என்னைத் தொட்டு,வைரமுத்து,1999,துண்டு துண்டாய் உடைந்த மனத் துகளையெல்லாம்,0,,,
மேகங்கள் என்னைத் தொட்டுப் போனதுண்டு சில மின்னல்கள் என்னை ,மேகங்கள் என்னைத் தொட்டு,வைரமுத்து,1999,அடி தூயவளே உனக்குள் தொலைத்து விட்டேன்,1,தூயவளே,ஒரு பெண்ணைக் குறிக்கிறது. அவள் தூய்மையானவள்,"அவள் தூய்மையானவள், அழகானவள், நல்லவள் என்று இந்த வார்த்தை கூறுகிறது."
மேகங்கள் என்னைத் தொட்டுப் போனதுண்டு சில மின்னல்கள் என்னை ,மேகங்கள் என்னைத் தொட்டு,வைரமுத்து,1999,உன் செவ்வாயில் உள்ளதடி எனது ஜீவன்,1,உன் செவ்வாயில் ,"இந்த உருவகம் ஒரு பெண்ணின் உதட்டின் அழகை, நிறத்தை ஒப்பிடுகிறது",
